,date,NOx,NO_2,NOx
881,27.03.2012,20,46,76
882,28.03.2012,20,41,71
883,29.03.2012,13,31,50
884,30.03.2012,13,31,51
885,31.03.2012,8,17,30
886,01.04.2012,9,21,35
887,02.04.2012,16,36,61
888,03.04.2012,64,73,171
889,04.04.2012,56,61,147
890,05.04.2012,59,71,162
891,06.04.2012,43,59,124
892,07.04.2012,12,28,46
893,08.04.2012,22,36,70
894,09.04.2012,37,47,103
895,10.04.2012,65,78,178
896,11.04.2012,41,62,125
897,12.04.2012,69,87,193
898,13.04.2012,58,72,161
899,14.04.2012,71,72,180
900,15.04.2012,29,43,87
901,16.04.2012,14,30,51
902,17.04.2012,42,64,128
903,18.04.2012,61,84,178
904,19.04.2012,82,115,240
905,20.04.2012,75,102,217
906,21.04.2012,46,68,138
907,22.04.2012,26,44,84
908,23.04.2012,59,78,169
909,24.04.2012,51,82,159
910,25.04.2012,46,69,139
911,26.04.2012,65,88,188
912,27.04.2012,62,95,189
913,28.04.2012,60,106,198
914,29.04.2012,56,91,176
915,30.04.2012,23,45,81
916,01.05.2012,35,53,107
917,02.05.2012,38,67,125
918,03.05.2012,47,73,144
919,04.05.2012,35,70,124
920,05.05.2012,22,38,71
921,06.05.2012,33,44,94
922,07.05.2012,61,84,177
923,08.05.2012,72,89,200
924,09.05.2012,58,81,169
925,10.05.2012,58,74,163
